Model,MSO2024
Firmware Version,1.39

Point Format,Y,
Horizontal Units,S,
Horizontal Scale,1e-05,
Sample Interval,1e-09,
Filter Frequency,2e+08,
Record Length,100000,
Gating,0.0% to 100.0%,0.0% to 100.0%
Probe Attenuation,1,1
Vertical Units,V,V
Vertical Offset,0,0
Vertical Scale,0.2,0.2
Label,,
TIME,CH1,CH2
-4.94759e-05,0.008,7.62939e-09
-4.94749e-05,0.008,-0.00799999
-4.94739e-05,0.008,7.62939e-09
-4.94729e-05,0.008,-0.00799999
-4.94719e-05,0.008,7.62939e-09
-4.94709e-05,0.008,-0.00799999
-4.94699e-05,0.008,7.62939e-09
-4.94689e-05,0.008,-0.00799999
-4.94679e-05,0,7.62939e-09
-4.94669e-05,0.008,-0.00799999
-4.94659e-05,0.008,7.62939e-09
-4.94649e-05,0.008,-0.00799999
-4.94639e-05,0.008,7.62939e-09
-4.94629e-05,0.008,-0.00799999
-4.94619e-05,0.008,7.62939e-09
-4.94609e-05,0.008,-0.00799999
-4.94599e-05,0.008,7.62939e-09
-4.94589e-05,0.008,-0.00799999
-4.94579e-05,0.008,7.62939e-09
-4.94569e-05,0.008,-0.00799999
-4.94559e-05,0.008,7.62939e-09
-4.94549e-05,0.008,-0.00799999
-4.94539e-05,0.008,7.62939e-09
-4.94529e-05,0.008,-0.00799999
-4.94519e-05,0.008,7.62939e-09
-4.94509e-05,0.008,-0.00799999
-4.94499e-05,0.016,7.62939e-09
-4.94489e-05,0.008,-0.00799999
-4.94479e-05,0.008,7.62939e-09
-4.94469e-05,0.008,-0.00799999
-4.94459e-05,0.008,7.62939e-09
-4.94449e-05,0.008,-0.00799999
-4.94439e-05,0.008,7.62939e-09
-4.94429e-05,0.008,-0.00799999
-4.94419e-05,0.008,7.62939e-09
-4.94409e-05,0.008,-0.00799999
